[02Oct2025 00:00:08.533] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=85, y=64, z=33} BlockPos{x=85, y=65, z=33}
[02Oct2025 00:00:08.586] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=85, y=64, z=33} BlockPos{x=85, y=65, z=33}
[02Oct2025 00:00:08.631] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=85, y=64, z=33} BlockPos{x=85, y=65, z=33}
[02Oct2025 00:00:08.666] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=85, y=64, z=33} BlockPos{x=85, y=65, z=33}
[02Oct2025 00:00:08.714] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=85, y=64, z=33} BlockPos{x=85, y=65, z=33}
[02Oct2025 00:00:08.754] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=85, y=64, z=33} BlockPos{x=85, y=65, z=33}
[02Oct2025 00:00:23.084] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=89, y=76, z=44} BlockPos{x=89, y=75, z=45}
[02Oct2025 00:00:23.135] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=89, y=76, z=44} BlockPos{x=89, y=74, z=43}
[02Oct2025 00:01:23.924] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: natasha burned to death
[02Oct2025 00:06:21.244] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: natasha fell from a high place
[02Oct2025 00:10:15.531] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592124625E7, 66.18752774632708, -1.758959822356701] -> [-24.916885522194207, 110.17499999701977, 1.2290058625E7] returning empty list! this might break things
[02Oct2025 00:10:20.577] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 66.03543517607335, -0.7704805471003056] -> [-25.068241890519857, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:10:25.577] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 83.02871958426972, 4.377608837670872] -> [-28.53258993656584, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:10:30.578] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 88.33052024247202, 17.822874541475276] -> [-22.265613418640765, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:10:35.624] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 88.34839021454722, 30.67074668287045] -> [-14.601186038728088, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:10:40.628] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 90.4322360287335, 36.38961498614813] -> [-0.22149854264850055, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:10:45.677] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 90.43962523723866, 39.35424597310431] -> [14.726769638925337, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:10:50.677] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 90.4395580184953, 42.794897472721196] -> [29.31381565471657, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:10:55.729] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 90.43957092052702, 46.265095983867205] -> [44.060994991562445, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:11:00.777] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 90.43957146681852, 49.736170344289995] -> [58.8079964718736, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:11:05.826] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 90.43963868000459, 53.12921294942498] -> [73.26472644507885, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:11:10.828] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 90.43599546437054, 53.9333740727984] -> [78.7245498835053, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:11:15.877] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 90.43539252821755, 50.169904528127226] -> [90.69075692707821, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:11:20.927] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 90.43658167196347, 46.26816052378825] -> [104.92529399955794, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:11:25.930] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 90.43662120098384, 42.39973611192516] -> [119.37714867929145, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:11:30.977] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 90.4366229810986, 38.48662906320504] -> [134.00827615225836, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:11:35.977] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 90.43662307607627, 34.61134851904324] -> [148.4984905112736, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:11:40.978] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 90.43662310443386, 30.735952651069674] -> [162.98915800342485, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:11:45.979] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 89.93591261735722, 31.96747093503084] -> [164.97878703648652, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:11:51.030] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 98.11261790912273, 33.089203578844796] -> [168.41115226749193, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:11:56.080] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 98.4303607693133, 26.8594507437658] -> [180.06484028710744, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:12:01.127] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 98.42783471298951, 21.386038926662177] -> [193.83228666721604, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:12:06.128] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 98.43630446936906, 14.30418622369312] -> [207.0486572373102, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:12:11.179] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 98.43609213324403, 7.842146279908645] -> [220.6913093242238, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:12:16.226] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 98.43608298856995, 1.3433050463571425] -> [234.37610761703948, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:12:21.230] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 98.43608042543809, -5.0705010190328785] -> [247.88076998696408, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:12:26.278] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 98.43608252614823, -11.570174084357989] -> [261.56535997124416, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:12:31.327] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 98.43608249986542, -18.048391816519274] -> [275.2051742102395, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:12:36.330] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 98.43608247420163, -24.483707790575995] -> [288.75465916352374, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:12:41.330] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 98.43608244848022, -30.919023798160328] -> [302.3041441875885, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:12:46.377] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 109.00084871261382, -37.376813162846446] -> [316.0440990330437, 110.8008486649301, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:12:51.430] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -43.76097120826838] -> [329.7849614095494, 129.39659846534636, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:12:56.481] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -50.17073129972217] -> [343.5709601339504, 147.5538005496797, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:13:01.529] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -56.664275949928324] -> [357.2631306998066, 148.33158558151644, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:13:06.582] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -63.16400695701835] -> [370.9477317888841, 148.33161489069062, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:13:11.625] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -69.65053241867103] -> [384.69111172609433, 153.24119816178447, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:13:16.628] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -76.06373535972259] -> [398.2120399944473, 153.62759933890575, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:13:21.676] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -82.570927951972] -> [411.89598908265106, 153.62765650220632, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:13:26.678] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -89.00903109956728] -> [425.44585588998956, 153.6276680577367, 1.2290058650000006E7] returning empty list! this might break things
